"marr","wage","exper","age","coll","games","minutes","guard","forward","center","points","rebounds","assists","draft","allstar","avgmin","black","children"
1,1.002,4,27,4,77,2867,1,0,0,15.5,3.9,4.5,19,0,37.234,1,0
1,2.03,5,28,4,78,2789,1,0,0,13.3,2.5,8.8,28,0,35.756,1,1
0,0.65,1,25,4,74,1149,0,0,1,5.5,3.3,0.2,19,0,15.527,1,0
0,2.03,5,28,4,47,1178,0,1,0,7.3,5.1,1.5,1,0,25.064,1,0
0,0.755,3,24,4,82,2096,1,0,0,10.8,4.3,2.6,24,0,25.561,1,0
0,2.015,9,31,4,82,1971,0,1,0,11.3,4.9,1.5,4,0,24.037,1,0
1,1.065,1,28,0,80,2303,0,1,0,15.1,7.2,1.4,40,0,28.788,0,0
0,0.42,3,27,3,67,1131,0,1,0,6.6,4.2,0.7,47,0,16.881,1,0
1,0.15,1,25,4,60,542,1,0,0,3.1,0.7,2,0,0,9.033,1,0
1,3.05,12,35,3,74,2700,0,1,0,26,6.5,2.3,3,1,36.486,1,1
1,1.031,9,31,4,70,2337,1,0,0,12.1,2.6,6.9,66,0,33.386,1,1
0,0.182,2,25,4,74,983,1,0,0,3.4,1.2,2.2,35,0,13.284,0,0
1,0.9,7,29,4,77,2746,1,0,0,10.8,4.1,10.1,12,0,35.662,1,1
0,0.85,1,23,4,51,767,0,1,0,4.8,2.6,1.2,20,0,15.039,1,0
1,1.004,8,30,4,82,2173,1,0,0,16.3,3.2,2.7,15,0,26.5,1,1
1,2.04,6,28,4,82,2648,1,0,0,14.4,4.6,2.6,6,0,32.293,1,1
1,3.125,3,25,4,51,1757,0,1,0,16.4,8.8,3.6,1,1,34.451,1,0
0,3.12,2,24,4,60,2018,0,0,1,21.5,10.2,1.4,2,1,33.633,1,0
0,4,18,41,4,74,1987,0,0,1,11.7,7.3,1.1,8,0,26.851,1,0
0,0.57,8,30,4,50,1005,1,0,0,6.2,2.7,2.1,44,0,20.1,1,0
0,0.62,6,27,4,82,2770,1,0,0,14.8,2.1,4,18,1,33.78,1,0
0,0.15,3,25,4,36,419,1,0,0,3.6,1.3,1,0,0,11.639,1,0
1,4,8,31,0,75,2856,1,0,0,20.1,6.1,4.6,8,0,38.08,1,1
0,0.15,8,30,4,34,682,0,1,0,5.1,3.6,1,28,0,20.059,0,0
1,1.007,1,26,0,75,1808,0,1,0,10.9,4,3.4,29,0,24.107,0,1
1,1.059,4,26,4,76,1502,0,0,1,6.9,5.7,1.4,7,0,19.763,0,1
1,1.02,7,29,4,43,397,0,0,1,2.7,2.9,0.8,11,0,9.233,0,0
1,3.008,8,29,4,72,2759,1,0,0,22,8.7,5.6,5,1,38.319,1,1
1,0.15,8,31,4,76,1371,0,0,1,7.1,4.6,0.9,16,0,18.039,0,1
1,1.12,9,31,4,51,814,1,0,0,6.6,0.8,1.6,84,0,15.961,1,0
0,0.84,3,24,3,73,1548,1,0,0,8.3,2.2,3.8,11,0,21.205,1,0
0,1.05,10,32,4,82,1708,0,1,0,4.6,5.4,0.5,14,0,20.829,1,0
1,3.541,8,28,4,50,1838,0,0,1,17,10.2,3,1,0,36.76,1,1
0,3.543,4,27,4,70,965,0,1,0,5,2,1.1,2,0,13.786,0,0
0,1.075,4,26,4,57,1447,0,1,0,10.6,8.8,0.8,11,0,25.386,1,0
1,0.475,1,25,4,22,149,1,0,0,1.6,0.5,0.9,0,0,6.773,1,0
0,0.85,1,24,4,79,2022,0,1,0,9.4,5.1,1.6,22,0,25.595,1,0
1,0.312,3,24,4,72,1531,1,0,0,8.3,2.9,1.8,45,0,21.264,1,1
1,2.85,8,30,4,76,2386,1,0,0,17.3,3,7.8,25,1,31.395,0,1
1,2.278,9,31,4,82,2768,1,0,0,14.3,3.7,3.1,47,0,33.756,1,1
1,4.57,8,32,4,76,2660,0,1,0,13.7,7.6,2.5,45,0,35,1,0
0,1.2,6,27,4,15,286,0,1,0,3.7,4.9,0.4,0,0,19.067,1,0
0,0.35,2,24,4,77,1165,1,0,0,5.4,2,1.4,28,0,15.13,1,0
0,0.845,4,25,3,50,428,0,0,1,2.7,1.9,0.6,33,0,8.56,1,0
