hourspw,hoursw,inv1,inv2,margin,naux,nfull,nown,npart,sales,ssize,start,tsales
16.7559582864828,76,17166.6667,27177.0345,41,1.5357,1,1,1,4411.76470588235,170,41,750000
22.4937614958351,192,17166.6667,27177.0345,39,1.5357,2,2,3,4280.87777777778,450,39,1926395
17.191199312352,114,292857.143,71570.5556,40,1.4091,2,1,2.2222,4166.66666666667,300,40,1250000
21.5026018148196,100,22207.037,15000,40,1.3673,1,1,1.2833,2670.10384615385,260,40,694227
15.7427870788048,104,22207.037,10000,44,1.3673,1.9556,2,1.2833,15000,50,44,750000
10.8988525930187,72,22207.037,22859.8526,41,1.3673,1.9556,2,1.2833,4444.44444444444,90,41,400000
17.4567376501713,161,22207.037,22859.8526,39,4,1,1.2228,3,3250,400,39,1300000
12.1098362144652,80,22207.037,22859.8526,28,1.3673,1.9556,2,1.2833,4953.4,100,28,495340
20.7042050502536,158,292857.143,5000,41,1.4091,3,1,2.2222,2666.66666666667,450,41,1200000
16.6065395407433,87,22207.037,22859.8526,37,1,1.9556,1,1.2833,6604.53333333333,75,37,495340
34.3938091143594,156,17166.6667,27177.0345,32,1.5357,1,1,1,7594.29166666667,120,32,911315
7.51470063311353,40,22207.037,5000,30,1.3673,1.9556,1,1,5775,40,30,231000
17.146225151369,96,62269.2308,16624.8936,39,1.3333,2.2656,1,1,5467.03333333333,90,39,492033
38.125,305,62269.2308,10000,37,1,5,1,1,13636.3636363636,110,37,1500000
13.7869024426795,92,62269.2308,16624.8936,34,1.3333,2.2656,1,2.0741,8250,40,34,330000
17.2020814518557,80,22207.037,12700,44,1.3673,1,1,1.2833,4350,200,44,870000
23.2955719626519,124,22207.037,22859.8526,33,1.3673,1.9556,1,1,7713.63333333333,90,33,694227
12.3078020762727,69,22207.037,3500,49,1.3673,1.9556,1,1.2833,3503.25714285714,70,49,245228
9.0823771608489,60,22207.037,50000,41,1.3673,1.9556,2,1.2833,3947.36842105263,95,41,375000
11.5943063037352,65,22207.037,22859.8526,41,1.3673,1.9556,1,1.2833,4714.28571428571,70,41,330000
13.0180739305501,86,22207.037,2000,40,1.3673,1.9556,2,1.2833,2409.064,125,40,301133
18.9224018400405,116,5000,15000,44,1.5357,2,1,1.5946,5745.98235294118,170,44,976817
25.9388419748105,270,292857.143,71570.5556,45,1.4091,5,1,3,6000,250,45,1500000
7.13495772537548,40,22207.037,22859.8526,21,1.3673,1.9556,1,1.2833,1289.48333333333,60,21,77369
15.8681818910385,99,22207.037,22859.8526,39,2,1.9556,1,1.2833,4957.8947368421,95,39,471000
19.3526235290445,124,62269.2308,20000,35,1.3333,2,1,2.0741,3756.25,160,35,601000
19.0982445530215,120,5000,22859.8526,37,3,1,1,1.2833,7235.68148148148,135,37,976817
20.5867215645908,136,22207.037,22859.8526,46,1.3673,1.9556,2,1.2833,15454.5454545455,55,46,850000
14.236475348419,95,5000,35000,39,1.3333,2.2656,1,2.0741,4503.09090909091,110,39,495340
9.58018270777021,84,292857.143,71570.5556,44,1.4091,4.359,1,2,5785.225,120,44,694227
8.91869715671935,50,22207.037,22859.8526,30,1.3673,1.9556,1,1.2833,3470.4,45,30,156168
12.1927013922364,86,17166.6667,27177.0345,41,1.5357,1.9231,2,1.5946,4953.4,100,41,495340
20.3572155614841,190,180000,100000,42,1.3333,3,4,1,7142.85714285714,140,42,1000000
14.269915450751,80,5000,5000,38,1.3673,1.9556,1,1.2833,6311.15454545455,110,38,694227
25.2261484795333,128,62269.2308,3000,41,1,1,1,2.0741,6302.04516129032,155,41,976817
9.01764075973623,48,22207.037,5000,35,1.3673,1.9556,1,1,3123.36,50,35,156168
22.4394935085751,98,22207.037,22859.8526,41,1.3673,1,1,1,1818.18181818182,220,41,400000
7.67007955477864,43,2850,3640,35,1.3673,1.9556,1,1.2833,2530.35211267606,71,35,179655
18.3830569491785,96,292857.143,71570.5556,40,1,1,1,2.2222,6257.14285714286,140,40,876000
14.3804305046774,95,22207.037,30000,39,1.3673,1.9556,2,1.2833,2316.40769230769,130,39,301133
8.32551239744482,55,22207.037,2000,39,1.3673,1.9556,2,1.2833,11257.7272727273,44,39,495340
11.7241884663296,64,17166.6667,27177.0345,35,1.5357,1.9231,1,1,3764.1625,80,35,301133
27.2309786998362,118,62269.2308,1200,46,1.3333,1,1,1,7049.5867768595,121,46,853000
26.2701917165055,141,5000,1000,49,1.3673,1,2,1,4884.085,200,49,976817
25.5,204,2000,5000,39,2,3,1,2,5573.32647058824,340,39,1894931
23.4754904700687,126,22207.037,22859.8526,31,1.3673,1,2,1,6105.10625,160,31,976817
22.9826353421859,144,20000,5000,31,1,2.2656,2,1,4958.76428571429,140,31,694227
23.6528619963015,110,22207.037,5000,31,1.3673,1,1,1.2833,4307.30434782609,115,31,495340
30.1540684434533,192,230000,15000,25,1.3673,3,1,1,1735.5675,400,25,694227
14.2885209594742,80,8000,16624.8936,41,1.3333,2.2656,1,1,10282.2842105263,95,41,976817
24.2844062263625,183,17166.6667,10000,39,1.5357,3,2,1,5141.14210526316,190,39,976817
18.4931760180493,100,62269.2308,16624.8936,30,1.3333,1,1,2.0741,5821.42857142857,140,30,815000
14.1695164652506,104,62269.2308,16624.8936,44,1,2.2656,2,2.0741,6604.53333333333,75,44,495340
